trading_symbol,instrument_key
NIFTY25JUN27000PE,NSE_FO|50970
NIFTY25DEC27000CE,NSE_FO|50971
NIFTY25DEC27000PE,NSE_FO|50972
NIFTY26JUN27000CE,NSE_FO|50973
NIFTY26JUN27000PE,NSE_FO|50976
NIFTY26DEC27000CE,NSE_FO|50978
NIFTY26DEC27000PE,NSE_FO|50979
NIFTY25JUN27000CE,NSE_FO|50969
NIFTY27JUN27000CE,NSE_FO|50981
NIFTY27JUN27000PE,NSE_FO|50984
NIFTY100EW,NSE_EQ|INF174KA1UW4
NIFTY100 QUALTY30,NSE_INDEX|NIFTY100 Qualty30
NIFTY CONSUMPTION,NSE_INDEX|Nifty Consumption
NIFTY1,NSE_EQ|INF174K014P6
NIFTY RURAL,NSE_INDEX|Nifty Rural
NIFTY25JUN17000CE,NSE_FO|45865
NIFTY25JUN17000PE,NSE_FO|45866
NIFTY25DEC17000CE,NSE_FO|45873
NIFTY25DEC17000PE,NSE_FO|45874
NIFTY COREHOUSING,NSE_INDEX|Nifty CoreHousing
NIFTY REALTY,NSE_INDEX|Nifty Realty
NIFTY25JUN21000PE,NSE_FO|51450
NIFTY25JUN21000CE,NSE_FO|51449
NIFTY25DEC21000CE,NSE_FO|51451
NIFTY25DEC21000PE,NSE_FO|51452
NIFTY26JUN21000CE,NSE_FO|51453
NIFTY26JUN21000PE,NSE_FO|51455
NIFTY100 ESG,NSE_INDEX|NIFTY100 ESG
NIFTY EV,NSE_INDEX|Nifty EV
NIFTY IT,NSE_INDEX|Nifty IT
NIFTY2551520900CE,NSE_FO|46082
NIFTY2551520900PE,NSE_FO|46083
NIFTY2551520950CE,NSE_FO|46085
NIFTY2551520950PE,NSE_FO|46086
NIFTY2551520750PE,NSE_FO|46071
NIFTY2551520800CE,NSE_FO|46072
NIFTY2551520800PE,NSE_FO|46073
NIFTY2551520850CE,NSE_FO|46074
NIFTY2551520750CE,NSE_FO|46070
NIFTY2551520850PE,NSE_FO|46079
NIFTY2551521050PE,NSE_FO|46093
NIFTY2551521100CE,NSE_FO|46094
NIFTY2551521100PE,NSE_FO|46095
NIFTY2551521150CE,NSE_FO|46096
NIFTY2551521000CE,NSE_FO|46090
NIFTY2551521000PE,NSE_FO|46091
NIFTY2551521050CE,NSE_FO|46092
NIFTY2551521150PE,NSE_FO|46097
NIFTY2551521200CE,NSE_FO|46098
NIFTY2551521200PE,NSE_FO|46099
NIFTY2551520700CE,NSE_FO|46068
NIFTY2551520700PE,NSE_FO|46069
NIFTY2551520650CE,NSE_FO|46066
NIFTY2551520650PE,NSE_FO|46067
NIFTY PSE,NSE_INDEX|Nifty PSE
NIFTY,NSE_INDEX|Nifty 50
NIFTY25DEC26000PE,NSE_FO|71403
NIFTY26JUN25000PE,NSE_FO|71475
NIFTY26JUN26000CE,NSE_FO|71476
NIFTY26JUN26000PE,NSE_FO|71477
NIFTY26JUN24000CE,NSE_FO|71472
NIFTY26JUN24000PE,NSE_FO|71473
NIFTY26JUN25000CE,NSE_FO|71474
NIFTY2551525200CE,NSE_FO|46300
NIFTY2551525200PE,NSE_FO|46301
NIFTY2551525250CE,NSE_FO|46302
NIFTY2551526450CE,NSE_FO|46358
NIFTY2551526450PE,NSE_FO|46359
NIFTY2551526500CE,NSE_FO|46360
NIFTY2551526600PE,NSE_FO|46365
NIFTY2551526650CE,NSE_FO|46366
NIFTY2551526650PE,NSE_FO|46367
NIFTY2551526500PE,NSE_FO|46361
NIFTY2551526550CE,NSE_FO|46362
NIFTY2551526550PE,NSE_FO|46363
NIFTY2551526600CE,NSE_FO|46364
NIFTY2551526250PE,NSE_FO|46347
NIFTY2551526300CE,NSE_FO|46348
NIFTY2551526400CE,NSE_FO|46354
NIFTY2551526400PE,NSE_FO|46357
NIFTY2551526300PE,NSE_FO|46351
NIFTY2551526350CE,NSE_FO|46352
NIFTY2551526350PE,NSE_FO|46353
NIFTY2551525600CE,NSE_FO|46318
NIFTY2551525600PE,NSE_FO|46319
NIFTY2551525500CE,NSE_FO|46314
NIFTY2551525500PE,NSE_FO|46315
NIFTY2551525550CE,NSE_FO|46316
NIFTY2551525550PE,NSE_FO|46317
NIFTY2551525650PE,NSE_FO|46321
NIFTY2551525700CE,NSE_FO|46322
NIFTY2551525700PE,NSE_FO|46323
NIFTY2551525750CE,NSE_FO|46324
NIFTY2551525650CE,NSE_FO|46320
NIFTY2551525350PE,NSE_FO|46307
NIFTY2551525400CE,NSE_FO|46308
NIFTY2551525400PE,NSE_FO|46309
NIFTY2551525250PE,NSE_FO|46303
NIFTY2551525300CE,NSE_FO|46304
NIFTY2551525300PE,NSE_FO|46305
NIFTY2551525350CE,NSE_FO|46306
NIFTY2551525450CE,NSE_FO|46310
NIFTY2551525450PE,NSE_FO|46311
NIFTY2551526000CE,NSE_FO|46336
NIFTY2551526000PE,NSE_FO|46337
NIFTY2551526050CE,NSE_FO|46338
NIFTY2551526050PE,NSE_FO|46339
NIFTY2551526150PE,NSE_FO|46343
NIFTY2551526200CE,NSE_FO|46344
NIFTY2551526200PE,NSE_FO|46345
NIFTY2551526250CE,NSE_FO|46346
NIFTY2551526100CE,NSE_FO|46340
NIFTY2551526100PE,NSE_FO|46341
NIFTY2551526150CE,NSE_FO|46342
NIFTY2551525850PE,NSE_FO|46329
NIFTY2551525750PE,NSE_FO|46325
NIFTY2551525800CE,NSE_FO|46326
NIFTY2551525800PE,NSE_FO|46327
NIFTY2551525850CE,NSE_FO|46328
NIFTY2551525900CE,NSE_FO|46332
NIFTY2551525900PE,NSE_FO|46333
NIFTY2551525950CE,NSE_FO|46334
NIFTY2551525950PE,NSE_FO|46335
NIFTY25DEC25000PE,NSE_FO|71398
NIFTY25DEC26000CE,NSE_FO|71399
NIFTY25DEC24000PE,NSE_FO|71394
NIFTY25DEC25000CE,NSE_FO|71395
NIFTY25JUN24000CE,NSE_FO|71379
NIFTY25JUN24000PE,NSE_FO|71380
NIFTY25JUN25000CE,NSE_FO|71381
NIFTY25JUN25000PE,NSE_FO|71382
NIFTY25JUN26000CE,NSE_FO|71383
NIFTY25JUN26000PE,NSE_FO|71384
NIFTY25DEC24000CE,NSE_FO|71393
NIFTY2551523950CE,NSE_FO|46237
NIFTY2551523950PE,NSE_FO|46238
NIFTY2551524000CE,NSE_FO|46245
NIFTY2551524000PE,NSE_FO|46246
NIFTY2551523700CE,NSE_FO|46226
NIFTY2551523700PE,NSE_FO|46227
NIFTY2551523750CE,NSE_FO|46228
NIFTY2551523750PE,NSE_FO|46229
NIFTY2551523850PE,NSE_FO|46233
NIFTY2551523900CE,NSE_FO|46234
NIFTY2551523900PE,NSE_FO|46235
NIFTY2551523800CE,NSE_FO|46230
NIFTY2551523800PE,NSE_FO|46231
NIFTY2551523850CE,NSE_FO|46232
NIFTY2551524200PE,NSE_FO|46259
NIFTY2551524250CE,NSE_FO|46260
NIFTY2551524250PE,NSE_FO|46261
NIFTY2551524400CE,NSE_FO|46266
NIFTY2551524400PE,NSE_FO|46267
NIFTY2551524450CE,NSE_FO|46268
NIFTY2551524450PE,NSE_FO|46269
NIFTY2551524300CE,NSE_FO|46262
NIFTY2551524300PE,NSE_FO|46263
NIFTY2551524350CE,NSE_FO|46264
NIFTY2551524350PE,NSE_FO|46265
NIFTY2551524050CE,NSE_FO|46248
NIFTY2551524100PE,NSE_FO|46255
NIFTY2551524150CE,NSE_FO|46256
NIFTY2551524150PE,NSE_FO|46257
NIFTY2551524200CE,NSE_FO|46258
NIFTY2551524050PE,NSE_FO|46251
NIFTY2551524100CE,NSE_FO|46254
NIFTY2551523200CE,NSE_FO|46200
NIFTY2551523200PE,NSE_FO|46202
NIFTY2551523250CE,NSE_FO|46203
NIFTY2551523550PE,NSE_FO|46219
NIFTY2551523500CE,NSE_FO|46216
NIFTY2551523500PE,NSE_FO|46217
NIFTY2551523550CE,NSE_FO|46218
NIFTY2551523650CE,NSE_FO|46222
NIFTY2551523650PE,NSE_FO|46223
NIFTY2551523600CE,NSE_FO|46220
